reading lang.rbnf
OK
check syntax and markup RBNF tokens
OK
RBNF tokens: 337
  1: oper   terminal "//"
  2: nul    empty    "SPACE"
  3: ident  terminal "rbnf"
  4: nul    empty    "SPACE"
  5: ident  terminal "rules"
  6: nul    empty    "SPACE"
  7: ident  terminal "for"
  8: nul    empty    "SPACE"
  9: ident  terminal "Nilkaus"
 10: nul    empty    "SPACE"
 11: ident  terminal "Wirth"
 12: nul    empty    "SPACE"
 13: ident  terminal "PL0"
 14: nul    empty    "SPACE"
 15: ident  terminal "language"
 16: nul    empty    "LF"
 17: nul    empty    "LF"
 18: ident  head     "prog"
 19: nul    empty    "SPACE"
 20: oper   meta     "="
 21: nul    empty    "SPACE"
 22: ident  non_term "block"
 23: nul    empty    "SPACE"
 24: oper   terminal "."
 25: nul    empty    "SPACE"
 26: oper   meta     "."
 27: nul    empty    "LF"
 28: nul    empty    "LF"
 29: ident  head     "number"
 30: oper   meta     "="
 31: nul    empty    "SPACE"
 32: ident  terminal "SEM_VALUE"
 33: nul    empty    "SPACE"
 34: ident  terminal "NUMBER"
 35: nul    empty    "SPACE"
 36: ident  terminal "SEM_DONE"
 37: oper   meta     "."
 38: nul    empty    "LF"
 39: ident  head     "name"
 40: oper   meta     "="
 41: nul    empty    "SPACE"
 42: ident  terminal "EXCLUDE_ON"
 43: nul    empty    "SPACE"
 44: ident  non_term "reserved_words"
 45: nul    empty    "SPACE"
 46: ident  terminal "EXCLUDE_OFF"
 47: oper   meta     "."
 48: nul    empty    "LF"
 49: ident  head     "reserved_words"
 50: oper   meta     "="
 51: nul    empty    "SPACE"
 52: ident  terminal "const"
 53: oper   meta     ","
 54: ident  terminal "var"
 55: oper   meta     ","
 56: ident  terminal "procedure"
 57: oper   meta     ","
 58: ident  terminal "call"
 59: oper   meta     ","
 60: ident  terminal "begin"
 61: oper   meta     ","
 62: ident  terminal "end"
 63: oper   meta     ","
 64: ident  terminal "if"
 65: oper   meta     ","
 66: ident  terminal "then"
 67: oper   meta     ","
 68: ident  terminal "while"
 69: oper   meta     ","
 70: ident  terminal "do"
 71: oper   meta     "."
 72: nul    empty    "LF"
 73: nul    empty    "LF"
 74: ident  head     "unary_oper"
 75: oper   meta     "="
 76: nul    empty    "SPACE"
 77: ident  terminal "odd"
 78: oper   meta     "."
 79: nul    empty    "LF"
 80: ident  head     "binary_oper"
 81: oper   meta     "="
 82: nul    empty    "SPACE"
 83: oper   terminal "="
 84: oper   meta     ","
 85: nul    empty    "SPACE"
 86: oper   terminal "<>"
 87: oper   meta     ","
 88: nul    empty    "SPACE"
 89: oper   terminal "<"
 90: oper   meta     ","
 91: nul    empty    "SPACE"
 92: oper   terminal ">"
 93: oper   meta     ","
 94: nul    empty    "SPACE"
 95: oper   terminal "<="
 96: oper   meta     ","
 97: nul    empty    "SPACE"
 98: oper   terminal ">="
 99: nul    empty    "SPACE"
100: oper   meta     "."
101: nul    empty    "LF"
102: ident  head     "plus_minus"
103: oper   meta     "="
104: nul    empty    "SPACE"
105: oper   terminal "+"
106: oper   meta     ","
107: nul    empty    "SPACE"
108: oper   terminal "-"
109: nul    empty    "SPACE"
110: oper   meta     "."
111: nul    empty    "LF"
112: ident  head     "mul_div"
113: oper   meta     "="
114: nul    empty    "SPACE"
115: oper   terminal "*"
116: oper   meta     ","
117: nul    empty    "SPACE"
118: oper   terminal "/"
119: nul    empty    "SPACE"
120: oper   meta     "."
121: nul    empty    "LF"
122: nul    empty    "LF"
123: ident  head     "const_sector"
124: oper   meta     "="
125: nul    empty    "SPACE"
126: ident  terminal "const"
127: nul    empty    "SPACE"
128: ident  non_term "name"
129: nul    empty    "SPACE"
130: oper   terminal "="
131: nul    empty    "SPACE"
132: ident  non_term "number"
133: nul    empty    "SPACE"
134: oper   meta     "["
